,mu,std
Jet_Eta[0],-0.0008878123,1.0285994
Jet_CSV[0],0.49352023,0.40035483
Jet_Eta[1],-0.0025072768,1.0305121
Jet_CSV[1],0.5362946,0.40291956
Jet_Eta[2],-0.0033516434,1.0525806
Jet_CSV[2],0.5132992,0.40979493
Jet_Eta[3],-0.002085785,1.079584
Jet_CSV[3],0.4835501,0.41207036
LooseLepton_Pt[0],79.51508,50.92472
LooseLepton_Eta[0],-0.0029293096,0.9999402
BDT_common5_input_HT_tag,306.08304,138.0331
Evt_Dr_MinDeltaRJets,0.6799638,0.19680782
Evt_Dr_MinDeltaRTaggedJets,1.2340381,0.51968277
BDT_common5_input_max_dR_bb,2.9112968,0.587099
BDT_common5_input_aplanarity_jets,0.08225207,0.063766144
BDT_common5_input_aplanarity_tags,0.04102563,0.050621904
Evt_JetPtOverJetE,0.62236804,0.14537926
BDT_common5_input_pt_all_jets_over_E_all_jets_tags,0.67038774,0.17314063
BDT_common5_input_sphericity_jets,0.35639957,0.18999812
BDT_common5_input_sphericity_tags,0.29853836,0.18381353
BDT_common5_input_transverse_sphericity_jets,0.39235595,0.2233011
BDT_common5_input_transverse_sphericity_tags,0.3561083,0.22608438
Evt_CSV_Average,0.47097668,0.08878198
Evt_CSV_Average_Tagged,0.8573501,0.08690559
CSV[0],0.9733657,0.05201061
Evt_CSV_Min,0.017543158,0.04223361
Evt_CSV_Min_Tagged,0.7076833,0.14982495
Evt_Dr_MinDeltaRLeptonTaggedJet,1.2088286,0.5143005
BDT_common5_input_h3,-0.0018109203,0.05038813
Evt_M_MinDeltaRLeptonTaggedJet,92.76818,46.506622
Evt_Deta_TaggedJetsAverage,0.95893466,0.4855332
Evt_Dr_TaggedJetsAverage,2.1291292,0.4361086
BDT_common5_input_closest_tagged_dijet_mass,104.26203,58.262558
BDT_common5_input_dev_from_avg_disc_btags,0.016949026,0.014364611
Evt_M_JetsAverage,4.6708055,1.5305685
Evt_M2_TaggedJetsAverage,166.32114,78.13839
N_BTagsT,2.2768849141199157,0.9099403917322597
BDT_common5_input_tagged_dijet_mass_closest_to_125,126.276726,33.32394
CSV[1],0.896573,0.11386286
Evt_blr_ETH,0.7886758,0.26974887
Evt_blr_ETH_transformed,3.2685876,3.5217576
MEM,0.49101815172036034,0.3414608286386892
